ID;PROVINCIA;LOCALIDAD
1268;Maldonado;Las Flores - Estacion
1269;Maldonado;Solis
1270;Maldonado;Punta Colorada
1271;Maldonado;Punta Negra
1272;Maldonado;Barra De Portezuelo
1273;Maldonado;San Francisco
1274;Maldonado;Colonia J. Suarez
1275;Maldonado;Playa Hermosa
1276;Maldonado;Gregorio Aznarez
1277;Maldonado;Cerros Azules
1278;Maldonado;Pan De Azucar
1279;Maldonado;Nueva Carrara
1280;Maldonado;La Sierra
1281;Maldonado;Puntas De La Sierra
1282;Maldonado;Gerona
1283;Maldonado;Pueblo Solis
1284;Maldonado;Ruta 37 Y 9
1285;Maldonado;Garzon
1286;Maldonado;San Carlos
1287;Maldonado;El Quijote
1288;Maldonado;Parque Medina
1289;Maldonado;Carape
1290;Maldonado;Puntas De Jose Ignacio
1291;Maldonado;Paso De La Cantera
1292;Maldonado;Molles De Garzon
1293;Maldonado;Costas De Jose Ignacio
1294;Maldonado;Puntas Del Campanera
1295;Maldonado;Jose Ignacio
1296;Maldonado;Las Cañas
1297;Maldonado;Arroyito De Medina
1298;Maldonado;Corte De La Leña
1299;Maldonado;Partido Norte
1300;Maldonado;Guardia Vieja
1301;Maldonado;Abra De Perdomo
1302;Maldonado;Partido Oeste
1303;Maldonado;Carlos Cal
1304;Maldonado;Alfaro
1305;Maldonado;Los Ceibos
1306;Maldonado;Pago De La Paja
1307;Maldonado;Cañada Bellaca
1308;Maldonado;Cañada De La Cruz
1309;Maldonado;Aigua
1310;Lavalleja;Marmaraja
1311;Lavalleja;Paso De Los Troncos
1312;Lavalleja;Pororo
1313;Lavalleja;Puente De Marmaraja
1314;Lavalleja;Sauce De Aigua
1315;Maldonado;Valdivia
1316;Maldonado;Alferez
1317;Maldonado;Salamanca
1318;Maldonado;Sarandi De Aigua
1319;Maldonado;Paso De Los Talas
1320;Maldonado;Sauce De Aigua
1321;Maldonado;Coronilla
1322;Rocha;Rocha
1323;Rocha;Puerto De Los Botes
1324;Rocha;La Ribiera
1325;Rocha;19 De Abril
1326;Rocha;India Muerta
1327;Rocha;Sarandi De La India Muerta
1328;Rocha;Puntas De Don Carlos
1329;Rocha;Lomas
1330;Rocha;Arbolito
1331;Rocha;Kilometro 18
1332;Rocha;La Centinela
1333;Rocha;La Sierra
1334;Rocha;Sierra De Los Rocha
1335;Rocha;Los Cerrillos
1336;Rocha;Garzon Arriba
1337;Rocha;Sauce De Rocha
1338;Rocha;Picada Tolosa
1339;Rocha;El Canelon
1340;Rocha;Garzon Al Medio
1341;Rocha;Cuchilla De Garzon
1342;Rocha;Garzon Abajo
1343;Rocha;Paso Doña Rosa
1344;Rocha;Paralle
1345;Rocha;18 De Julio
1346;Rocha;Chuy
